Fiscal Year 2012 3-Year Default Rates by State,,,,
,,,,
State,Number of Schools,Number of Borrowers in Default,Number of Borrowers Entered Repayment,Borrower Default Rate
Alabama,60,9623.00,81441.00,11.80%
Alaska,10,995.00,7649.00,13.00%
Arizona,96,52232.00,359421.00,14.50%
Arkansas,67,6111.00,42121.00,14.50%
California,598,50011.00,442919.00,11.20%
Colorado,110,14124.00,113633.00,12.40%
Connecticut,72,4161.00,48093.00,8.60%
Delaware,17,1058.00,11375.00,9.30%
District of Columbia,22,4083.00,46325.00,8.80%
Florida,305,41307.00,291085.00,14.10%
Georgia,140,16933.00,137946.00,12.20%
Guam,1,20.00,440.00,4.50%
Hawaii,25,880.00,9389.00,9.30%
Idaho,33,2835.00,25187.00,11.20%
Illinois,248,23438.00,230903.00,10.10%
Indiana,117,25753.00,174516.00,14.70%
Iowa,88,13989.00,106370.00,13.10%
Kansas,81,5307.00,53148.00,9.90%
Kentucky,86,12524.00,76691.00,16.30%
Louisiana,82,6970.00,58468.00,11.90%
Maine,39,2107.00,19359.00,10.80%
Maryland,80,7384.00,71334.00,10.30%
Massachusetts,170,6560.00,101925.00,6.40%
Michigan,136,24185.00,188007.00,12.80%
Minnesota,109,15744.00,159221.00,9.80%
Mississippi,44,6850.00,44170.00,15.50%
Missouri,168,12052.00,105818.00,11.30%
Montana,26,1389.00,14127.00,9.80%
Nebraska,46,2667.00,33033.00,8.00%
Nevada,29,2643.00,18522.00,14.20%
New Hampshire,40,1608.00,21695.00,7.40%
New Jersey,130,7264.00,87661.00,8.20%
New Mexico,29,4775.00,23758.00,20.00%
New York,406,24053.00,291318.00,8.20%
North Carolina,145,9973.00,89523.00,11.10%
North Dakota,24,974.00,14601.00,6.60%
Ohio,254,34469.00,235486.00,14.60%
Oklahoma,81,7614.00,55511.00,13.70%
Oregon,77,9821.00,71655.00,13.70%
Pennsylvania,338,22947.00,235376.00,9.70%
Puerto Rico,42,4415.00,33657.00,13.10%
Rhode Island,21,1946.00,23104.00,8.40%
South Carolina,79,7983.00,60741.00,13.10%
South Dakota,25,2321.00,20221.00,11.40%
Tennessee,128,10865.00,90679.00,11.90%
Texas,301,43686.00,305148.00,14.30%
Utah,51,5439.00,54910.00,9.90%
Vermont,29,932.00,12151.00,7.60%
Virgin Islands,1,45.00,328.00,13.70%
Virginia,122,9812.00,111908.00,8.70%
Washington,103,7221.00,71076.00,10.10%
West Virginia,54,8653.00,47540.00,18.20%
Wisconsin,93,8693.00,93792.00,9.20%
Wyoming,10,1140.00,8172.00,13.90%
